,smiles,stat3_25,imr90_viability,is_hit
45,BrC1C=CC=CC=1N1C(C)=C(C(OCC2=C(C)OC(C3C=CC=CC=3)=N2)=O)N=N1,0.901477833,1.11810466,0
46,FC1C=NC(OC2CCC(NC(C3C=CC(OCC)=NC=3)=O)CC2)=NC=1,0.964285714,1.054980628,0
47,S1C=CC2N3C(N(CC(N(C)C4C=CC=CC=4)=O)N=C3N(CC(C)C)C(=O)C1=2)=O,1.141625616,0.998978281,0
48,O=C(C1C=C(C)ON=1)N1CCC(OC2C=NC=C(N(C)C)N=2)C1,0.687192118,0.90898607,0
49,S(CC(N1CCN(C2C=CC(F)=CC=2)CC1)=O)C1C2=NN=C(C(C)C)N2C2C=CC=CC=2N=1,1.141625616,0.898627255,0
50,C1(=NC=NC(N2CCCCC2)=C1)N1CCC(CC1)C(NCCC1=CC=CS1)=O,0.901477833,1.0711662770000001,0
51,ClC1C=CC(CN2C(=O)C3N=CC=NC=3N(CC(NCC3C=CC=C(OC)C=3)=O)C2=O)=CC=1,0.967980296,0.918050034,0
52,C12C(=NC=NC=1C1C(=NC(=CC=1C)C)S2)N1CCC(CC1)C(=O)N1CCN(CC1)C1C=CC=CN=1,0.883004926,0.857515705,0
53,C1(C(C)=NN(C2C=CC(=NN=2)C2C=CC=CC=2)C=1C)S(=O)(=O)NCC1C=CC(=CC=1F)F,1.366995074,0.907367505,0
54,N1(C2C=CC(=CC=2)OCC)C(=O)CC(CC1=O)C1C=CC(=CC=1)OC,0.982758621,0.84715689,0
55,O=C(C1C=C(OCC(NC2C=CC(C(C)C)=CC=2)=O)C2C=C(OC)C(OC)=CC=2N=1)OC,1.208128079,1.035557849,0
56,C12=NOC(C)=C1C(C1C=CC(=CC=1)OC)=NN(CCCC(=O)N1CCN(CC1)C1C=CC=CC=1)C2=O,0.875615764,1.099976733,0
57,C1(C(=O)N2CCN(CC2)CCC)=C(C2C=CC(=CC=2)F)N2C(C=CC=C2)=N1,1.18226601,0.857839418,0
58,O=C(C1C=CC=NC=1OCC)N1CCC(OC2C=CC(C)=NN=2)C1,0.883004926,0.897979829,0
59,ClC1C=CC(C)=C(NC(CN2C=NC3N=C(N4CCCCC4)SC=3C2=O)=O)C=1,1.352216749,0.829352675,0
60,O=C(C1=CC2C=CC=C(OC)C=2O1)N1CCC(OC2C=CC=NN=2)C1,1.030788177,0.976642085,0
61,ClC1C=CC2S(=O)(=O)N(CC(NC3C=C(F)C=CC=3F)=O)N=C(C3C=CC=CC=3F)C=2C=1,1.245073892,0.773026615,0
62,S(C1=C(C)N(CC)N=C1C)(NCC1CC2C=CC=CC=2CO1)(=O)=O,0.823891626,0.812843313,0
63,FC1C=CC2C(=C(C=C(C(OC)=O)N=2)OCC(NCC2C=CC3=C(OCO3)C=2)=O)C=1,1.245073892,0.783709144,0
64,N1(C2C=CC(F)=CC=2F)C(=O)CC(C2C=CC(C)=CC=2)CC1=O,0.849753695,0.838740352,0
65,S(C(CC)C(OC)=O)C1N(C2C=CC(F)=CC=2)C(C2=CNC3C=CC=CC2=3)=NN=1,1.237684729,0.795039098,0
66,N1C(C2C=CC(=CC=2)NC(=O)C2CC(C)=CCC2C(O)=O)=CN2C=CC=C(C)C=12,1.278325123,1.248560995,0
67,S(=O)(=O)(N1CCN(CC1)C1C=CC=C(C)C=1C)C1=C(C)SC(C2=CSC(C)=N2)=C1,1.193349754,1.163748192,0
68,S(=O)(=O)(NC1=CC=C2OCCOC2=C1)C1C(C)=NN(C2C=CC(C3C=CC(C)=CC=3)=NN=2)C=1C,0.875615764,1.072461129,0
69,C1(=CC2C=C(C)C=CC=2N(CC(=O)NCC2=CC=C3OCOC3=C2)C1=O)S(C1C=CC=CC=1)(=O)=O,1.030788177,1.010955661,0
70,O=C(NCCC1C=CC=CC=1)N1CCN2C=CC=C2C1C1C=C(OC)C=CC=1OC,1.178571429,1.367687374,0
71,C1(ON=C(C)N=1)C1=CC=CN=C1N1CCN(CC1)C(C1C=CC=CC=1)C1C=CC=CC=1,0.57635468,1.107422132,0
72,O=C1NC(C2C=CC(O)=CC=2)C2C(=O)N(CCN3CCCCC3)CC=2N1C,1.100985222,1.07796425,0
73,N12C(CCC(=O)N3CCN(CC3)C3C=CC=CN=3)=NN=C1C=CC(N1CCC3(CC1)OCCO3)=N2,1.189655172,1.00642368,0
74,C1(=NN=C(CC)S1)NC(=O)C(C1C=CC=CC=1)SC1C=CC=CC=1,0.945812808,0.858486844,0
75,C1(N(CCC)C2C=CC(=CC=2)OCC)C2C=CC=CC=2N=C(C(OCC)=O)N=1,0.502463054,0.524415041,0
76,O=C(CCC1C=CC=CC=1)N1CCN(C2C=C(OCC)N=C(C)N=2)CC1,1.15270936,1.009013384,0
77,N12N=C(C3C=CC=CC=3)N=C1N(C(C)=C(CC(=O)NC1C=CC=CC=1CC)C2=O)C,1.060344828,0.891181856,0
78,C1(N2CCSCC2)C2C(C)=CC(C)=NC=2N=C(C(=O)N2CCN(CC2)CCCC)N=1,1.078817734,0.998978281,0
79,S(CC(N(CC)CC1C=CC=CC=1)=O)C1N(CC2C=CC(C)=CC=2)C(=O)C2=NN(CC)C=C2N=1,1.126847291,1.001891698,0
80,O=C1N(CC2C=CC=C3C=CC=CC=23)C2C=CC=NC=2C(=O)N1CC1C=CN=CC=1,1.466748768,1.140117144,0
81,C1(=NN=NN1C1C=CC(=CC=1)Cl)C1=CN=C(N2CCOCC2)N=C1C1C=CC=CC=1C,1.064039409,1.188350379,0
82,ClC1C=CC(N2C(C)=NC3C=CC=CC=3C2=O)=CC=1NC(CC1C=CC=CC=1)=O,0.724137931,0.939738804,0
83,C1(=NN(C=C1C(=O)NC1=CC=C2CCCC2=C1)C)S(=O)(=O)N1CCSCC1,1.237684729,0.972433816,0
84,ClC1C=CC(OC)=C2C=1SC(N1CCN(C(C3COC4C=CC=CC=4O3)=O)CC1)=N2,1.123152709,0.730620214,0
85,C(N)(=O)C1C=CC(=CC=1)NC(COC1C=CC(=CC=1Br)C1C=CC=CC=1)=O,1.089901478,0.853631149,0
86,S(C1C=CC(C)=CC=1C)(NC1C=CC2CCN(C(C3=CC=CO3)=O)CC=2C=1)(=O)=O,0.735221675,1.091883908,0
87,C12NC(C3C=CC=CC=3)CC(C(F)(F)F)N1N=CC=2C(=O)NC(C)COC,1.18226601,0.943299647,0
88,N1=C(C2C=CC(=CC=2)NC(=O)C2C=CSC=2)OC(C)=C1CN1C=C(C=N1)C,0.738916256,1.352472864,0
